"kw","km","year","ac","gears","hatchback","wagon","coupe","price"
88,180000,2003,1,0,1,0,0,2650
96,87000,2010,1,0,0,1,0,6950
63,153000,2010,0,0,0,0,0,6400
81,192148,2010,0,0,0,1,0,6250
60,155160,2003,0,0,1,0,0,2399
88,132407,2004,0,0,0,0,0,2950
66,182000,2011,0,0,1,0,0,6690
82,79700,2007,1,0,1,0,0,3890
79,182419,2001,0,1,1,0,0,2500
88,132000,2004,1,0,0,1,0,3290
96,246185,2002,0,0,1,0,0,1950
79,190000,2001,0,0,0,1,0,1750
88,250000,2004,1,0,0,1,0,3099
63,121000,2009,0,0,1,0,0,5900
88,250000,2005,1,0,0,1,0,2950
60,205000,2004,0,0,1,0,0,2600
88,230000,2003,1,0,0,1,0,2600
88,185221,2004,1,0,0,1,0,2999
88,252000,2004,0,0,0,0,0,2450
66,207000,2010,0,0,0,1,0,6600
68,92162,2012,0,0,0,0,0,7550
83,153000,2004,0,0,1,0,0,2850
74,171544,2004,1,0,1,0,0,2800
88,220123,2004,0,0,0,0,0,2720
74,202000,2005,0,0,1,0,0,2550
74,193924,2004,0,0,0,0,0,2900
59,290000,2003,0,0,0,1,0,2250
70,210000,2001,0,0,1,0,0,2200
75,179000,2002,0,0,0,1,0,2700
81,46699,2011,0,0,1,0,0,7900
88,180000,2003,0,0,1,0,0,3150
74,172000,2005,0,0,0,0,0,2700
60,186000,2005,0,0,1,0,0,2990
63,184000,2006,1,0,1,0,0,3350
66,159000,2012,0,0,0,0,0,6890
88,187900,2004,1,0,0,1,0,3350
110,131825,2010,1,1,0,1,0,7290
65,165000,2004,0,0,0,0,0,3200
75,192000,2002,0,0,0,1,0,2300
88,178053,2004,0,0,1,0,0,2699
81,192740,2012,1,0,1,0,0,8950
81,71000,2010,1,0,1,0,0,6999
88,244008,2003,1,0,1,0,0,3526
75,183654,2002,0,0,0,1,0,2400
83,181000,2002,0,0,1,0,0,1999
96,170000,2009,1,0,1,0,0,6550
60,170000,2003,0,0,1,0,0,2500
70,250000,2001,0,0,0,0,1,1400
88,220000,2003,1,0,0,0,0,2600
63,233000,2008,0,0,0,0,0,3700
78,164348,2009,1,0,0,0,0,5350
83,167000,2003,0,0,1,0,0,2750
66,160000,2011,0,0,1,0,0,7500
59,260000,2002,0,0,0,1,0,1700
63,138245,2007,0,0,1,0,0,4650
88,178000,2003,0,0,1,0,0,2700
88,204000,2003,0,0,1,0,0,2000
78,230000,2007,0,0,0,1,0,3999
72,225000,2003,0,0,1,0,0,2100
74,167450,2004,0,0,1,0,0,2999
44,183639,2003,1,0,1,0,0,3210
78,216000,2006,0,1,0,1,0,3500
88,200000,2004,1,0,0,1,0,2799
79,200000,2003,0,0,0,1,0,2100
74,228786,2004,0,0,1,0,0,2900
88,170700,2003,1,0,1,0,0,2720
79,215000,2002,0,0,0,1,0,3000
60,103000,2003,0,0,1,0,0,2900
60,280000,2004,0,0,1,0,0,2150
74,200000,2003,0,0,0,1,0,1800
59,261000,2002,0,0,0,1,0,2200
88,164578,2005,1,0,0,1,0,3300
83,185000,2005,0,0,1,0,0,2900
63,191000,2006,1,0,0,0,0,4100
79,143000,2001,0,0,0,0,0,2400
83,125000,2005,1,0,1,0,0,3450
59,120000,2001,0,0,0,1,0,1800
132,78000,2009,1,0,0,0,1,7800
88,250000,2004,0,0,0,1,0,2999
63,178000,2008,0,0,0,0,0,4500
74,191944,2004,1,0,1,0,0,2650
88,213150,2004,0,0,0,0,0,2550
59,205000,2001,0,0,0,0,0,1890
66,134000,2011,0,0,1,0,0,6390
72,72000,2007,0,0,0,0,0,4800
88,189000,2004,1,0,0,1,0,3100
81,55000,2009,1,0,0,1,0,8500
79,190027,2002,0,0,1,0,0,2300
74,206043,2004,1,0,0,0,0,3400
75,147843,2001,0,0,1,0,0,2150
88,194000,2004,0,0,0,1,0,2700
96,131000,2007,1,1,1,0,0,4200
88,242000,2004,0,0,1,0,0,2900
53,109000,2008,0,0,0,1,0,5000
75,190000,2002,0,0,0,1,0,1400
63,134500,2010,0,0,1,0,0,6100
74,135610,2005,0,0,0,1,0,3400
75,120000,2001,0,0,0,0,0,2400
63,189059,2008,0,0,0,1,0,4650
63,180000,2008,0,0,0,0,0,4390
74,154523,2004,1,0,0,1,0,2899
63,154900,2010,0,0,1,0,0,6090
63,157000,2007,1,0,0,0,0,4900
75,149000,2003,0,0,0,1,0,1900
